Date,Ticker,Status,Entry_Ref,RR_Ratio,Kelly_Pct,Close_Price,Trend_State,RSI,IV_Rank,Crowding_Index,Crowding_Label,Max_Corr_R2,Breakeven_Days,Win_Prob_10d,Risk_Loss_10d,Target_Prob_10d,Target_Median_10d,Win_Prob_20d,Risk_Loss_20d,Target_Prob_20d,Target_Median_20d,Win_Prob_60d,Risk_Loss_60d,Target_Prob_60d,Target_Median_60d,ATR_14,Hard_Stop_Loss,Target_Aggressive,RR_Score,PE_Percentile,IV_Status,SPY_State,Alpha_vs_SPY,Corr_vs_SPY,Action
2026-06-16,AAPL,未持有,299.24,1:1.00,0.0,299.24,bull_core,52.16,56.11,0.0,🟢 **低度拥挤**：RSI 52 + IV Rank 56% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.243,0.202,0.3306,304.15021121774134,0.1998,0.3012,0.4806,309.06876724216676,0.1618,0.4164,0.7146,329.94169799802637,7.2173,288.414,310.066,4.0,84.44,neutral,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-06-12,AAPL,未持有,291.13,1:1.00,0.0,291.13,bull_core,44.09,67.78,0.0,🟢 **低度拥挤**：RSI 44 + IV Rank 68% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2406,0.1892,0.3148,295.1952981633739,0.1994,0.2972,0.456,300.1667286558514,0.1616,0.4134,0.6876,318.23678222138903,7.3196,280.1506,302.1094,4.0,74.44,expensive,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-06-11,AAPL,未持有,295.63,1:1.00,0.0,295.63,bull_core,48.17,61.67,0.0,🟢 **低度拥挤**：RSI 48 + IV Rank 62% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2494,0.206,0.3154,299.88237295260524,0.1992,0.3184,0.4548,304.49729938660033,0.1602,0.4334,0.6836,322.3534891085212,7.3034,284.6748,306.5852,4.0,80.0,expensive,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-06-10,AAPL,未持有,291.58,1:1.00,0.0,291.58,bull_core,43.82,60.0,0.0,🟢 **低度拥挤**：RSI 44 + IV Rank 60% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2288,0.1988,0.297,295.494481069838,0.1854,0.3036,0.4486,300.1264585616875,0.1488,0.432,0.6804,318.41630610299757,7.2957,280.6365,302.5235,4.0,76.67,expensive,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-06-09,AAPL,未持有,290.55,1:1.00,0.0,290.55,bull_core,42.69,60.0,0.0,🟢 **低度拥挤**：RSI 43 + IV Rank 60% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2402,0.1998,0.306,294.79095207735827,0.198,0.3012,0.459,299.2847060552936,0.1578,0.4256,0.6684,316.78651872734264,7.2903,279.6145,301.4855,4.0,76.67,expensive,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-06-08,AAPL,未持有,301.54,1:1.00,0.0,301.54,bull_core,53.36,37.22,0.0,🟢 **低度拥挤**：RSI 53 + IV Rank 37% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2536,0.2126,0.3504,306.499406778944,0.2134,0.3152,0.488,311.195458844825,0.1686,0.428,0.72,331.88564959945813,6.7927,291.351,311.729,4.0,86.67,cheap,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-06-05,AAPL,未持有,307.34,1:1.00,0.0,307.34,bull_core,60.82,30.0,0.0,🟢 **低度拥挤**：RSI 61 + IV Rank 30% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2286,0.2602,0.3822,312.1322786241447,0.191,0.3548,0.5226,317.5822700266176,0.157,0.456,0.7418,339.55984703499405,6.0667,298.2399,316.4401,4.0,91.11,cheap,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-06-04,AAPL,未持有,311.23,1:1.00,0.0,311.23,bull_core,66.61,27.78,0.0,🟢 **低度拥挤**：RSI 67 + IV Rank 28% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.252,0.26,0.3922,316.4118089614068,0.2132,0.3572,0.5358,321.8735645081982,0.173,0.4628,0.755,344.2673387953246,5.9164,302.3553,320.1047,4.0,96.67,cheap,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-06-03,AAPL,未持有,310.26,1:1.00,0.0,310.26,bull_core,65.86,31.11,0.0,🟢 **低度拥挤**：RSI 66 + IV Rank 31% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2528,0.2508,0.397,315.54023738351697,0.215,0.3542,0.5258,320.6301881084564,0.1718,0.4628,0.7518,344.50291207381713,6.0723,301.1515,319.3685,4.0,62.5,cheap,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-06-02,AAPL,未持有,315.2,1:1.00,0.0,315.2,bull_core,73.72,42.78,7.4,🟢 **低度拥挤**：RSI 74 + IV Rank 43% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2452,0.2668,0.3976,320.61910202816824,0.207,0.3618,0.5478,326.49784181111806,0.172,0.4652,0.7686,350.4181797011528,5.9171,306.3243,324.0757,4.0,52.94,neutral,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-06-01,AAPL,未持有,306.31,1:1.00,0.0,306.31,bull_core,67.01,30.0,0.0,🟢 **低度拥挤**：RSI 67 + IV Rank 30% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2604,0.2786,0.3768,310.64882958106523,0.2176,0.385,0.5196,315.9189510026689,0.1792,0.4798,0.7436,338.35668654292044,5.6735,297.7997,314.8203,4.0,52.94,cheap,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-05-29,AAPL,未持有,312.06,1:1.00,0.0,312.06,bull_core,79.0,29.44,18.0,🟢 **低度拥挤**：RSI 79 + IV Rank 29% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2496,0.2754,0.4062,317.45886898951744,0.211,0.3708,0.5474,322.78396367368464,0.1724,0.4706,0.7654,347.1115377048985,5.5638,303.7144,320.4056,4.0,56.25,cheap,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-05-28,AAPL,未持有,312.51,1:1.00,0.0,312.51,bull_core,80.03,30.56,20.1,🟢 **低度拥挤**：RSI 80 + IV Rank 31% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2566,0.2612,0.4192,318.1382200683777,0.218,0.3562,0.5626,323.78352660096266,0.1794,0.4546,0.7758,346.6569539284342,5.571,304.1535,320.8665,4.0,56.25,cheap,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-05-27,AAPL,未持有,310.85,1:1.00,0.0,310.85,bull_core,79.1,42.78,18.2,🟢 **低度拥挤**：RSI 79 + IV Rank 43% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2542,0.257,0.4118,316.48208279575624,0.2192,0.3488,0.5598,322.27737127916225,0.177,0.446,0.783,347.67960816076095,5.751,302.2234,319.4766,4.0,56.25,neutral,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-05-26,AAPL,未持有,308.33,1:1.00,0.0,308.33,bull_core,77.63,43.89,15.3,🟢 **低度拥挤**：RSI 78 + IV Rank 44% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2566,0.2654,0.396,313.6446159718241,0.2132,0.365,0.5396,319.0777739007693,0.1704,0.4646,0.7634,341.8205099635819,5.8119,299.6121,317.0478,4.0,56.25,neutral,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-05-22,AAPL,未持有,308.82,1:1.00,0.0,308.82,bull_core,78.63,46.11,17.3,🟢 **低度拥挤**：RSI 79 + IV Rank 46% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.253,0.2612,0.3846,313.7279115325472,0.2144,0.363,0.54,319.7523546981415,0.179,0.4636,0.7496,341.8354180597863,5.9397,299.9104,317.7296,4.0,56.25,neutral,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-05-21,AAPL,未持有,304.99,1:1.00,0.0,304.99,bull_core,76.44,45.0,12.9,🟢 **低度拥挤**：RSI 76 + IV Rank 45% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2428,0.2762,0.3672,309.41349699552325,0.1988,0.3786,0.5166,314.63557215628555,0.1612,0.486,0.7204,334.48132569181234,5.9036,296.1346,313.8453,4.0,56.25,neutral,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
2026-05-20,AAPL,未持有,302.25,1:1.00,0.0,302.25,bull_core,74.71,44.44,9.4,🟢 **低度拥挤**：RSI 75 + IV Rank 44% 都处于舒适区间，没有极端拥挤信号。,,125.0,0.2432,0.2684,0.3668,306.5036521039167,0.1986,0.3724,0.493,310.75669852004546,0.158,0.4896,0.703,330.49000092687015,5.9623,293.3066,311.1934,4.0,56.25,neutral,,0.0,0.0,🔴 **谨慎回避**：风险大于机遇，暂不建议介入
